pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"Kepler-941 b",2016,"Kepler",0,"17.42395198",0.1311,3.08,9.69,"0","722","1088.36"
"HAT-P-44 b",2014,"HATNet",0,"4.301219",0.0507,13.922,111.871,"0.044","1108","347.85"
"Kepler-97 b",2014,"Kepler",0,"2.58664",0.0356,1.48,3.51,"0","1328","400.907"
"Kepler-972 b",2016,"Kepler",0,"7.03932553",0.0734,4.65,19.5,"0","1060","1198.03"
"Kepler-973 b",2016,"Kepler",0,"49.6077331",0.2508,1.96,4.5,"0","402","328.52"
"Kepler-990 c",2016,"Kepler",0,"0.53835431",0.0127,1.53,2.96,"0","2386","802.163"
"Kepler-998 b",2016,"Kepler",0,"5.65377733",0.0626,2.32,5.99,"0","1020","986.364"
"MOA-2012-BLG-505L b",2017,"MOA",0,,0.9,2.48,6.7,,,"7210"
"Kepler-959 b",2016,"Kepler",0,"14.80074836",0.1633,4.38,17.6,"0","1912","807.729"
"Kepler-888 b",2016,"Kepler",0,"70.6979061",0.328,1.76,3.75,"0","417","420.817"
"Kepler-994 b",2016,"Kepler",0,"1.15116651",0.0177,1.6,3.19,"0","957","188.158"
"Kepler-966 b",2016,"Kepler",0,"99.747622",0.3907,4.13,16,"0","391","1027.8"
"NY Vir b",2011,"Multiple Observatories",0,"3160",3.3,13.3,730.978,"0.15",,"544.024"
"NY Vir c",2019,"Winer Observatory",0,"8799",,12.8,1760.7782,"0.15",,"544.024"
"MOA-2011-BLG-322L b",2013,"MOA",0,,4.3,12.4,3690,,,"7560"
"MOA-2015-BLG-337L b",2018,"MOA",0,,0.24,6.42,33.7,,,"7100"
"OGLE-2011-BLG-0265L b",2015,"OGLE",0,,1.89,13.9,280,,,"4380"
"Kepler-760 c",2016,"Kepler",0,"2.46697439",0.0333,1.48,2.79,"0","1139","792.336"
"MOA-2012-BLG-006L b",2017,"Multiple Observatories",0,,10.2,12.6,2700,,,"5300"
"NGC 2682 Sand 364 b",2014,"Multiple Observatories",0,"121.71",0.53,12.7,2126.2827,"0.35",,"817.192"
"HD 20781 d",2019,"La Silla Observatory",0,"29.158",0.1647,3.25,10.61,"0.11",,"35.9715"
"OGLE-2019-BLG-1470L AB c",2022,"OGLE",0,,3.2,13.3,699.2225,,,"5900"
"TOI-1298 b",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"4.537164",0.059,9.427,113.14691,"0.032","1388","319.036"
"TOI-2081 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"10.50534",0.0752,2.04,4.82,,"488","62.3446"
"TOI-4010 d",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"14.70886",0.113,6.18,38.15,"0.07","650","177.504"
